Accidents-K,Occupation
152,Student
109,Physician
106,Lawyer
105,Architect
102,Real_Estate_Broker
99,Enlisted_Military
98,Social_worker
96,Manual_laborer
95,Analyst
94,Engineer
94,Consultant
93,Sales
91,Military_officer
90,Nurse
90,School_admin
90,Skilled_labor
90,Librarian
90,Creative_arts
89,Executive
89,Insurance_agent
89,Banking-finance
88,Customer_service
88,Manager
87,Medical_support
87,Computer-related
86,Dentist
85,Pharmacist
84,Proprietor
84,Teacher_prof
84,Accountant
79,Law_Enforce
78,Physical_Therapist
78,Veterinarian
77,Clerical_secretary
76,Clergy
76,Homemaker
76,Politician
75,Pilot
67,Firefighter
43,Farmer
