Movie,2014_sales
American_Sniper,350.1
The_Hunger_Games:_Mockingjay_Part_1,337.1
Guardians_of_the_Galaxy,333.1
Captain_America:_The_Winter_Soldier,259.8
The_LEGO_Movie,257.8
The_Hobbit:_The_Battle_of_the_Five_Armies,255.1
Transformers:_Age_of_Extinction,245.4
Maleficent,241.4
X-Men:_Days_of_Future_Past,233.9
Big_Hero_6,222.5
Dawn_of_the_Planet_of_the_Apes,208.5
The_Amazing_Spider-Man_2,202.9
Godzilla,200.7
22_Jump_Street,191.7
Teenage_Mutant_Ninja_Turtles,191.2
Interstellar,188
How_to_Train_Your_Dragon_2,177
Gone_Girl,167.8
Divergent,150.9
Neighbors,150.2
