State,Median_Age
Alabama,37.4
Alaska,32.8
Arizona,35
Arkansas,37
California,34.8
Colorado,35.7
Connecticut,39.5
Delaware,38.4
DC,35.1
Florida,40
Georgia,34.7
Hawaii,37.5
Idaho,34.1
Illinois,36.2
Indiana,36.8
Iowa,38
Kansas,35.9
Kentucky,37.7
Louisiana,35.4
Maine,42.2
Maryland,37.7
Massachusetts,39
Michigan,38.5
Minnesota,37.3
Mississippi,35
Missouri,37.6
Montana,39
Nebraska,35.8
Nevada,35.5
New_Hampshire,40.4
New_Jersey,38.8
New_Mexico,35.6
New_York,38.1
North_Carolina,36.9
North_Dakota,36.3
Ohio,38.5
Oklahoma,35.8
Oregon,38.1
Pennsylvania,39.9
Rhode_Island,39.2
South_Carolina,37.6
South_Dakota,36.9
Tennessee,37.7
Texas,33
Utah,28.8
Vermont,41.2
Virginia,36.9
Washington,37
West_Virginia,40.5
Wisconsin,38.2
Wyoming,35.9
