SeatBelt%,Region,State
95.7,M,AL
88.4,W,AK
87.2,W,AZ
74.4,M,AR
97.1,W,CA
82.4,W,CO
85.1,E,CT
91.9,E,DE
93.2,E,DC
88.8,E,FL
97.3,E,GA
93.5,W,HI
80.2,W,ID
94.1,M,IL
90.2,M,IN
92.8,M,IA
85.7,M,KS
86.1,M,KY
84.1,M,LA
85,E,ME
92.1,E,MD
76.6,E,MA
93.3,M,MI
94.7,M,MN
78.3,M,MS
78.8,M,MO
74,W,MT
79,M,NE
94,W,NV
81,M,ND
70.4,E,NH
87.6,E,NJ
92.1,W,NM
90.6,E,NY
90.6,E,NC
85,E,OH
86.3,M,OK
97.8,W,OR
83.6,E,PA
87.4,E,RI
90,E,SC
68.9,M,SD
87.7,M,TN
90.7,M,TX
83.4,W,UT
77.3,E,VA
84.1,E,VT
94.5,W,WA
87.8,E,WV
84.7,M,WI
79.2,W,WY
