State,Percent_Change,East_West
Alabama,1.7,E
Alaska,4,W
Arizona,6.8,W
Arkansas,2.1,E
California,5.1,W
Colorado,8.5,W
Connecticut,0.5,E
Delaware,5.4,E
DC,11.7,E
Florida,7.8,E
Georgia,5.4,E
Hawaii,5.2,W
Idaho,5.6,W
Illinois,0.2,E
Indiana,2.1,E
Iowa,2.6,E
Kansas,2.1,W
Kentucky,2,E
Louisiana,3,E
Maine,0.1,E
Maryland,4,E
Massachusetts,3.8,E
Michigan,0.4,E
Minnesota,3.5,E
Mississippi,0.8,E
Missouri,1.6,E
Montana,4.4,W
Nebraska,3.8,W
Nevada,7.1,W
New_Hampshire,1.1,E
New_Jersery,1.9,E
New_Mexico,1.3,W
New_York,2.2,E
North_Carolina,5.3,E
North_Dakota,12.5,W
Ohio,0.7,E
Oklahoma,4.3,W
Oregon,5.2,W
Pennsylvania,0.8,E
Rhode_Island,0.4,E
South_Carolina,5.9,E
South_Dakota,5.4,W
Tennessee,4,E
Texas,9.2,W
Utah,8.4,W
Vermont,0.1,E
Virginia,4.8,E
Washington,6.6,W
West_Virginia,0,E
Wisconsin,1.5,E
Wyoming,4,W
