State,Number_of_background_checks,Background_checks_per_1000_residents
Alabama,"621,305",128
Alaska,"87,623",119
Arizona,"310,672",46
Arkansas,"234,282",79
California,"1,474,616",38
Colorado,"413,284",77
Connecticut,"270,297",75
Delaware,"42,950",46
Florida,"1,034,546",52
Georgia,"484,580",48
Hawaii,"15,225",11
Idaho,"131,742",81
Illinois,"1,344,096",104
Indiana,"647,550",98
Iowa,"127,022",41
Kansas,"172,167",59
Kentucky,"2,492,184",565
Louisiana,"315,357",68
Maine,"83,085",62
Maryland,"142,207",24
Massachusetts,"179,344",27
Michigan,"424,091",43
Minnesota,"481,122",88
Mississippi,"214,829",72
Missouri,"517,063",85
Montana,"121,836",119
Nebraska,"68,568",36
Nevada,"116,735",41
New_Hampshire,"124,677",94
New_Jersey,"92,320",10
New_Mexico,"139,780",67
New_York,"365,427",19
North_Carolina,"1,182,349",119
North_Dakota,"70,548",95
Ohio,"596,389",51
Oklahoma,"348,495",90
Oregon,"243,044",61
Pennsylvania,"899,241",70
Rhode_Island,"20,400",19
South_Carolina,"289,764",60
South_Dakota,"83,659",98
Tennessee,"533,394",81
Texas,"1,465,992",54
Utah,"263,812",90
Vermont,"31,502",50
Virginia,"419,764",50
Washington,"482,115",68
West_virginia,"221,847",120
Wisconsin,"334,308",58
Wyoming,"63,063",108
