State,Percent_uninsured
Alabama,19.6
Alaska,13.2
Arizona,10.6
Arkansas,15.9
California,14.7
Colorado,16.2
Connecticut,8
Delaware,11.5
DC,11.9
Florida,23.8
Georgia,11.7
Hawaii,8.9
Idaho,6.7
Illinois,13.3
Indiana,14.2
Iowa,9.7
Kansas,9.4
Kentucky,15.8
Louisiana,13.9
Maine,4.7
Maryland,12.2
Massachusetts,3.9
Michigan,21
Minnesota,10.8
Mississippi,22.9
Missouri,13.5
Montana,14.1
Nebraska,6.7
Nevada,12.2
New_Hampshire,9.3
New_Jersey,10.3
New_Mexico,21.6
New_York,5.3
North_Carolina,9.1
North_Dakota,5.9
Ohio,13.5
Oklahoma,25.9
Oregon,9
Pennsylvania,6.5
Rhode_Island,17
South_Carolina,7.7
South_Dakota,7.8
Tennessee,20.1
Texas,13.3
Utah,5.8
Vermont,8.5
Virginia,10.1
Washington,16.1
West_Virginia,8.4
Wisconsin,11.7
Wyoming,8.7
