Fat,Sodium,Calories
2.0,1042,268
5.0,921,303
3.0,250,260
2.0,770,660
1.0,635,180
6.0,440,290
4.5,490,290
5.0,1160,360
3.5,970,300
1.0,1120,315
2.0,350,160
3.0,450,200
6.0,800,320
3.0,1190,420
2.0,1090,120
5.0,570,290
3.5,1215,285
2.5,1160,390
0.0,520,140
2.5,1120,330
1.0,240,120
3.0,650,180
1.0,1620,340
4.0,660,380
3.0,840,300
1.5,1050,490
3.0,1440,380
9.0,750,560
1.0,500,230
1.5,1200,370
2.5,1200,330
3.0,1250,330
0.0,1040,220
0.0,760,260
2.5,780,220
3.0,500,230
