State,Gasoline_tax
Alabama,19
Alaska,9
Arizona,19
Arkansas,21.8
California,37.2
Colorado,23.3
Connecticut,25
Delaware,23
DC,23.5
Florida,30.6
Georgia,26.5
Hawaii,18.5
Idaho,33
Illinois,33.1
Indiana,29
Iowa,31.8
Kansas,25
Kentucky,26
Louisiana,20.9
Maine,31.4
Maryland,32.8
Massachusetts,26.7
Michigan,30.9
Minnesota,30.6
Mississippi,18.4
Missouri,17.3
Montana,27.8
Nebraska,27.7
Nevada,23.8
New_hampshire,23.8
New_Jersey,14.6
New_Mexico,18.9
New_York,33.8
North_Carolina,35.3
North_Dakota,23
Ohio,28
Oklahoma,17
Oregon,30
Pennsylvania,51.4
Rhode_island,34.1
South_carolina,16.8
South_dakota,30
Tennessee,21.4
Texas,20
Utah,30.1
Vermont,30.5
Virginia,16.8
Washington,44.6
West_virginia,33.2
Wisconsin,32.9
Wyoming,24
