Tuition_and_fees,Public_four-year_College_students,Private_nonprofit_four-year_college_students,
3000_to_<_6000,0.04,0.02,
6000_to_<_9000,0.38,0.06,
9000_to_<_12000,0.27,0.02,
12000_to_<_15000,0.12,0.02,
15000_to_<_18000,0.04,0.03,
18000_to_<_21000,0.04,0.03,
21000_to_<_24000,0.02,0.05,
24000_to_<_27000,0.02,0.07,
27000_to_<_30000,0.02,0.09,
30000_to_<_33000,0.02,0.09,
33000_to_<_36000,0.01,0.08,
36000_to_<_39000,0,0.09,
39000_to_<_42000,0,0.07,
42000_to_<_45000,0,0.07,
45000_to_<_48000,0,0.21,
,,,
,,,
,,,
,,,
,,,
